uuid,userId,todo_id,is_owner,completed
c7def68e-582f-4939-9108-add4f44ca911,6,147,False,False
04e8c6f2-bf18-41a5-8f12-7a5356f82b81,3,61,False,False
7efcb833-b08a-4062-9e57-3e8dd98aa29f,6,52,False,False
b1d5f128-ac6b-4fa2-91d2-3907f4079b85,10,170,False,False
abccddfa-74aa-4956-ac1b-adb429f51762,2,0,False,False
b79fa35a-9ca8-43db-9ee9-6951a38d808a,3,228,False,False
447288a4-f201-4027-899f-5549d074adff,8,82,False,False
e4319a37-20cc-47f7-a372-1294f3cc6750,5,26,False,False
ba5ea3ec-74ec-439b-a732-b89e7856f153,10,55,False,False
570fb887-250c-431a-ac28-8af970d9a4eb,1,205,False,False
d9699958-0467-4464-a214-1310140a72b8,8,193,False,False
838b9b18-88b9-480d-a74d-45a5ea803028,6,153,False,False
e063ceb0-7ad9-4639-bfea-a69e47b33e08,4,40,False,False
f5136540-fb0d-4090-83af-36ea7deea907,5,147,False,False
5bd24268-fb9f-46df-8cd3-10458b3ffb1e,2,158,False,False
8755f118-a697-4c84-b539-1e63d70c3dff,5,210,False,False
c7d244e4-cef8-462b-ba92-f10a0f4616dc,7,99,False,False
716ebb3f-d24d-456f-8805-a18a715be189,8,89,False,False
4eac0c3c-0ba0-452f-837b-d9eaf68cf350,8,152,True,False
79b23ad0-a5db-433e-82ce-cda52482bb41,3,110,False,False
2a2525eb-a524-416a-867a-962b01f670c2,10,51,False,False
356b6506-081c-4c61-a8a5-4fa87b383361,3,192,False,False
